"type","date","rt_type","bottom","top","lower","upper","median","mean","std"
"nowcast",2020-06-28,"forecast",891,1250,1002,1146,1069,1068.674,108.518207524235
"nowcast",2020-06-29,"forecast",844,1277,969,1145,1066,1067.6512,131.230500370171
"nowcast",2020-06-30,"forecast",824,1328,962,1170,1066,1066.9386,155.174728191461
"nowcast",2020-07-01,"forecast",776,1353,935,1167,1063,1065.2804,177.38062395028
"nowcast",2020-07-02,"forecast",775,1416,917,1182,1061,1064.3466,200.336317717181
"nowcast",2020-07-03,"forecast",702,1410,910,1194,1064,1069.92,216.4415537489
"nowcast",2020-07-04,"forecast",675,1454,915,1225,1066,1071.6254,238.435374389775
"nowcast",2020-07-05,"forecast",654,1503,868,1202,1060,1066.983,260.018122052597
"nowcast",2020-07-06,"forecast",626,1548,871,1242,1060,1065.4276,282.903184854183
"nowcast",2020-07-07,"forecast",583,1563,821,1207,1063,1069.1868,303.404125743972
"nowcast",2020-07-08,"forecast",548,1576,832,1238,1056,1068.3132,325.407268332803
"nowcast",2020-07-09,"forecast",512,1640,829,1265,1057,1067.12,351.993812912764
"nowcast",2020-07-10,"forecast",450,1621,780,1239,1055,1068.8934,368.063100739079
"nowcast",2020-07-11,"forecast",429,1678,800,1277,1046,1073.4244,399.918424224049
